voucher,species,extraction_date,qubit_dna_ng_ul
327913,Haliotis tuberculata,12-Sep-2023,too high
USNM1665286,Diodora alta,8-Nov-2021,200.0
USNM1665194,Scurria stipulata,13-Nov-2021,184.0
USNM1664634,Crepidula incurva,14-Feb-2022,181.0
USNM1665028,Nerita funiculata,16-Feb-2022,162.0
USNM1665015,Nerita funiculata,24-Nov-2021,146.0
USNM1665014,Nerita funiculata,24-Nov-2021,134.0
USNM1664751,Acanthais brevidentata,15-Nov-2021,129.0
USNM1665284,Diodora alta,8-Nov-2021,119.0
USNM1665022,Nerita funiculata,15-May-2021,110.0
USNM1665421,Tegula picta,15-Nov-2021,108.0
USNM1665193,Scurria stipulata,15-Nov-2021,105.0
USNM1665075,Nerita funiculata,4-Feb-2022,105.0
USNM1664959,Siphonaria palmata,16-Feb-2022,105.0
FMNH327658,Nerita funiculata,12-Feb-2022,101.0
USNM1665018,Nerita funiculata,16-Feb-2022,101.0
